"event_player_1_name","weighted_win_percentage","total_weighted","win_percentage","total_faceoffs","importance_factor"
"Ryan Strome",45.9662288930582,1012.7,46.0905349794239,486,2.08374485596708
"Cody Glass",45.9504525964745,419.8,46.0829493087558,217,1.93456221198157
"Connor Dewar",45.8944281524927,818.4,46.6019417475728,412,1.98640776699029
"Jack Eichel",45.8424507658643,2102.2,46.0176991150442,1017,2.06705998033432
"Rasmus Kupari",45.8180708180708,327.6,46.7065868263473,167,1.96167664670659
"Nils Aman",45.7569163817221,321.7,45.6140350877193,171,1.8812865497076
"Philipp Kurashev",45.7080094626563,591.8,46.3503649635037,274,2.15985401459854
"Cole Sillinger",45.5857515737755,1953.9,46.2962962962963,972,2.01018518518519
"Dylan Cozens",45.521672020358,2397.1,45.5497382198953,1146,2.09171029668412
"Brock Nelson",45.2805593411152,1687.7,45.5399061032864,852,1.98086854460094
"Luke Kunin",45.1327433628319,983.099999999999,45.625,480,2.048125
"Jack McBain",44.9458626412708,1265.3,45.2307692307692,650,1.94661538461538
"Tyler Johnson",44.9293785310734,708,44.4444444444444,351,2.01709401709402
"Sam Reinhart",44.8942673569958,1603.1,44.6175637393768,706,2.27067988668555
"Ryan Donato",44.8836187966623,455.4,44.1441441441441,222,2.05135135135135
"Evgeny Kuznetsov",44.8698773556685,1671.5,45.1145958986731,829,2.01628468033776
"Brayden Point",44.6779762798378,1332.2,45.4948301329394,677,1.96779911373708
"J.T. Compher",44.6341128552469,2185.1,44.7545717035611,1039,2.10307988450433
"Seth Jarvis",44.6041497623739,862.7,44.2105263157895,380,2.27026315789474
"Dawson Mercer",44.5600756859035,528.5,44.9056603773585,265,1.99433962264151
"Colin Blackwell",44.5178335535007,151.4,NA,NA,NA
"Morgan Geekie",44.5091667177632,1630.9,44.3890274314214,802,2.03354114713217
"Ben Meyers",44.4268357105124,189.3,44.7916666666667,96,1.971875
"Marco Rossi",44.3359772218832,1475.1,44.7263017356475,749,1.9694259012016
"Quinton Byfield",44.3227091633466,200.8,45.9183673469388,98,2.04897959183674
"Logan O'Connor",44.09979770735,148.3,NA,NA,NA
"Brett Howden",44.083654375344,726.8,44.5910290237467,379,1.91767810026385
"Michael Sgarbossa",44.0292096219931,232.8,46.031746031746,126,1.84761904761905
"Jacob Lucchini",44.0239043824701,200.8,43.6893203883495,103,1.9495145631068
"Connor Zary",43.9907192575406,215.5,44.0366972477064,109,1.97706422018349
"MacKenzie Entwistle",43.9735456876772,740.899999999999,43.765903307888,393,1.8852417302799
"Noah Cates",43.9005909986362,659.9,44.5454545454545,330,1.99969696969697
"Bo Groulx",43.8976727660331,562.9,44,275,2.04690909090909
"Trent Frederic",43.8039502560351,683.5,43.8746438746439,351,1.94729344729345
"Adam Fantilli",43.6955407483342,780.4,43.6224489795918,392,1.99081632653061
"Matthew Poitras",43.6891191709845,482.5,43.7007874015748,254,1.8996062992126
"Yakov Trenin",43.6305732484076,659.4,44.5482866043614,321,2.05420560747663
"Lukas Reichel",43.5467733866933,399.8,43.4343434343434,198,2.01919191919192
"Ridly Greig",43.5245620061834,873.3,43.8752783964365,449,1.94498886414254
"Jeff Skinner",43.4944237918216,269,41.9354838709677,124,2.16935483870968
"Mathew Barzal",43.1776556776557,218.4,42.9824561403509,114,1.91578947368421
"Jordan Eberle",43.1001890359168,158.7,42.4657534246575,73,2.17397260273973
"Sam Lafferty",43.0943701903605,740.7,42.3469387755102,392,1.88954081632653
"Filip Chytil",42.9752066115703,145.2,41.8918918918919,74,1.96216216216216
"Isac Lundestrom",42.8374136848713,796.5,44.0414507772021,386,2.06347150259067
"Matt Boldy",42.8268925357332,188.9,42.0454545454545,88,2.14659090909091
"Tyson Jost",42.6948480845443,378.5,42.5742574257426,202,1.87376237623762
"Tage Thompson",42.6099537037037,1728,43.3061699650757,859,2.011641443539
"Ivan Barbashev",42.3789907312049,194.2,41.7582417582418,91,2.13406593406594
"Tommy Novak",42.3635248415457,978.2,42.2178988326848,514,1.90311284046693
"Kyle MacLean",42.0525657071339,559.3,42.5087108013937,287,1.94878048780488
"Connor McMichael",42.0147966846526,1797.7,42.2657952069717,918,1.9582788671024
"Stefan Noesen",41.9472247497725,219.8,41.4414414414414,111,1.98018018018018
"Dmitri Voronkov",41.8899430740038,1317.5,42.1613394216134,657,2.00532724505327
"Nick Schmaltz",41.6472606937125,815.9,41,400,2.03975
"Oskar Sundqvist",41.4938120969148,1147.4,41.9354838709677,589,1.94804753820034
"Jack Roslovic",41.2520593080725,303.5,41.958041958042,143,2.12237762237762
"Trevor Lewis",40.9064068497195,677.4,41.2844036697248,327,2.07155963302752
"Carter Verhaeghe",40.8936009087467,264.1,40.625,128,2.06328125
"Jack Studnicka",40.8884225253585,285.9,39.8692810457516,153,1.86862745098039
"Nikita Alexandrov",40.8004778972521,167.4,40.6593406593407,91,1.83956043956044
"Travis Konecny",40.3193612774451,200.4,40.2061855670103,97,2.0659793814433
"Christian Fischer",40.0816522574448,416.4,40.3669724770642,218,1.91009174311927
"Aliaksei Protas",39.8007590132827,210.8,40.952380952381,105,2.00761904761905
"Alex Tuch",39.6598030438675,223.4,40,105,2.12761904761905
"Tyler Toffoli",39.6562698917887,157.1,40.7894736842105,76,2.0671052631579
"Mattias Janmark",39.4929953302202,149.9,40.5063291139241,79,1.89746835443038
"Drake Batherson",39.4388565378507,188.9,40.8602150537634,93,2.03118279569893
"Ty Dellandrea",39.3045516702481,511.9,40.4858299595142,247,2.07246963562753
"Colin White",39.2992823976362,236.9,38.4,125,1.8952
"Fredrik Olofsson",38.866085171883,779.6,39.6508728179551,401,1.94413965087282
"Yegor Sharangovich",38.8450662300938,671.9,39.0029325513196,341,1.97038123167155
"Connor Bedard",38.6840783525866,995.5,38.9097744360902,532,1.87124060150376
"Joel Farabee",38.554948391014,164.7,37.5,80,2.05875
"Jack Hughes",38.2921419518378,631.2,37.2239747634069,317,1.99116719242902
"Patrik Laine",38.25,160,37.9746835443038,79,2.0253164556962
"Logan Cooley",37.7307519135524,1332.6,38.0261248185776,689,1.93410740203193
"Cole Perfetti",37.7156177156177,214.5,37.2549019607843,102,2.10294117647059
"Trevor Zegras",37.6046596286858,274.7,38.4057971014493,138,1.99057971014493
"Juuso Parssinen",37.4969385255939,408.3,37.5,208,1.96298076923077
"Jesper Boqvist",37.3758136348064,291.9,37.3417721518987,158,1.84746835443038
"Hendrix Lapierre",37.0953782239917,577.7,37.0491803278689,305,1.89409836065574
"Pavel Buchnevich",37.0333988212181,407.2,37.378640776699,206,1.97669902912621
"Vladislav Namestnikov",36.3280041258381,969.5,36.2886597938144,485,1.99896907216495
"Kailer Yamamoto",35.6545961002786,215.4,35.5140186915888,107,2.01308411214953
"Zachary Sanford",35.3764478764479,207.2,35.5140186915888,107,1.93644859813084
"Leo Carlsson",35.030835357877,1070.2,34.75935828877,561,1.90766488413547
"Kirill Marchenko",35.0124378109453,160.8,32.9113924050633,79,2.03544303797468
"Chris Kreider",34.9021435228332,214.6,34.6153846153846,104,2.06346153846154
"Martin Necas",33.5907335907336,284.9,33.7931034482759,145,1.9648275862069
"Fabian Zetterlund",33.0415754923413,182.8,32.9411764705882,85,2.15058823529412
"Andrew Cogliano",31.7686721991701,385.6,32.7586206896552,174,2.21609195402299
"Lawson Crouse",31.25,185.6,31.1111111111111,90,2.06222222222222
"William Eklund",31.18629364563,461.1,31.304347826087,230,2.00478260869565
"Alexis Lafrenière",26.2458471760797,150.5,27.6315789473684,76,1.98026315789474
